age_bin,type,percentage,source,plot_value,color_category
18-24,common,0.04124748490945674,EMICRON,4.124748490945674,EMICRON_common
18-24,EMICRON_excess,0.01886582963014089,EMICRON,1.8865829630140891,EMICRON_EMICRON
18-24,common,0.04124748490945674,ZASCA,-4.124748490945674,ZASCA_common
25-34,common,0.13191788977176552,EMICRON,13.191788977176552,EMICRON_common
25-34,common,0.13191788977176552,ZASCA,-13.191788977176552,ZASCA_common
25-34,ZASCA_excess,0.0491686293429226,ZASCA,-4.91686293429226,ZASCA_ZASCA
35-44,common,0.2105173674105417,EMICRON,21.05173674105417,EMICRON_common
35-44,common,0.2105173674105417,ZASCA,-21.05173674105417,ZASCA_common
35-44,ZASCA_excess,0.0017562744405649477,ZASCA,-0.17562744405649477,ZASCA_ZASCA
45-54,common,0.2283702213279678,EMICRON,22.83702213279678,EMICRON_common
45-54,EMICRON_excess,0.008502765482275215,EMICRON,0.8502765482275215,EMICRON_EMICRON
45-54,common,0.2283702213279678,ZASCA,-22.83702213279678,ZASCA_common
55-64,common,0.19074067640319264,EMICRON,19.074067640319264,EMICRON_common
55-64,common,0.19074067640319264,ZASCA,-19.074067640319264,ZASCA_common
55-64,ZASCA_excess,0.02958125518634458,ZASCA,-2.958125518634458,ZASCA_ZASCA
65-74,common,0.09859154929577464,EMICRON,9.859154929577464,EMICRON_common
65-74,EMICRON_excess,0.029030689495927423,EMICRON,2.9030689495927424,EMICRON_EMICRON
65-74,common,0.09859154929577464,ZASCA,-9.859154929577464,ZASCA_common
75-99,common,0.018108651911468814,EMICRON,1.8108651911468814,EMICRON_common
75-99,EMICRON_excess,0.024106874361488694,EMICRON,2.4106874361488693,EMICRON_EMICRON
75-99,common,0.018108651911468814,ZASCA,-1.8108651911468814,ZASCA_common
