category,type,value,source,plot_value,color_category
Necesidad,EMICRON_excess,0.04111297304508732,EMICRON,4.1112973045087315,EMICRON_EMICRON
Necesidad,common,0.3557347670250896,EMICRON,35.57347670250896,EMICRON_common
Necesidad,common,0.3557347670250896,ZASCA,-35.57347670250896,ZASCA_common
Oportunidad,common,0.17733449323671857,EMICRON,17.733449323671856,EMICRON_common
Oportunidad,ZASCA_excess,0.33789848167367564,ZASCA,-33.789848167367566,ZASCA_ZASCA
Oportunidad,common,0.17733449323671857,ZASCA,-17.733449323671856,ZASCA_common
Other,EMICRON_excess,0.026865986726645405,EMICRON,2.6865986726645406,EMICRON_EMICRON
Other,common,0.07974910394265233,EMICRON,7.974910394265233,EMICRON_common
Other,common,0.07974910394265233,ZASCA,-7.974910394265233,ZASCA_common
Tradición/Herencia,EMICRON_excess,0.26991952190194296,EMICRON,26.991952190194297,EMICRON_EMICRON
Tradición/Herencia,common,0.0492831541218638,EMICRON,4.92831541218638,EMICRON_common
Tradición/Herencia,common,0.0492831541218638,ZASCA,-4.92831541218638,ZASCA_common
