source,sales,sales_category
EMICRON,17350000.0,10-50M
EMICRON,12000000.0,10-50M
EMICRON,3500000.0,1-10M
EMICRON,4800000.0,1-10M
EMICRON,4800000.0,1-10M
EMICRON,15000000.0,10-50M
EMICRON,2400000.0,1-10M
EMICRON,6200000.0,1-10M
EMICRON,6000000.0,1-10M
EMICRON,72000000.0,50-200M
EMICRON,7200000.0,1-10M
EMICRON,10800000.0,10-50M
EMICRON,21500000.0,10-50M
EMICRON,20700000.0,10-50M
EMICRON,12000000.0,10-50M
EMICRON,3000000.0,1-10M
EMICRON,6200000.0,1-10M
EMICRON,64000000.0,50-200M
EMICRON,138000000.0,50-200M
EMICRON,6000000.0,1-10M
EMICRON,7000000.0,1-10M
EMICRON,6000000.0,1-10M
EMICRON,13200000.0,10-50M
EMICRON,10000000.0,10-50M
EMICRON,12000000.0,10-50M
EMICRON,2700000.0,1-10M
EMICRON,6200000.0,1-10M
EMICRON,1500000.0,1-10M
EMICRON,39600000.0,10-50M
EMICRON,5800000.0,1-10M
EMICRON,6000000.0,1-10M
EMICRON,120000000.0,50-200M
EMICRON,7200000.0,1-10M
EMICRON,3100000.0,1-10M
EMICRON,4800000.0,1-10M
EMICRON,8400000.0,1-10M
EMICRON,110160000.0,50-200M
EMICRON,6000000.0,1-10M
EMICRON,9000000.0,1-10M
EMICRON,22100000.0,10-50M
EMICRON,1000000.0,1-10M
EMICRON,72000000.0,50-200M
EMICRON,11527272.0,10-50M
EMICRON,18300000.0,10-50M
EMICRON,4800000.0,1-10M
EMICRON,73200000.0,50-200M
EMICRON,5000000.0,1-10M
EMICRON,25000000.0,10-50M
EMICRON,6000000.0,1-10M
EMICRON,2500000.0,1-10M
EMICRON,6950000.0,1-10M
EMICRON,3500000.0,1-10M
EMICRON,18000000.0,10-50M
EMICRON,4300000.0,1-10M
EMICRON,20000000.0,10-50M
EMICRON,6000000.0,1-10M
EMICRON,15200000.0,10-50M
EMICRON,4000000.0,1-10M
EMICRON,4000000.0,1-10M
EMICRON,49280000.0,10-50M
EMICRON,11000000.0,10-50M
EMICRON,13200000.0,10-50M
EMICRON,11000000.0,10-50M
EMICRON,1700000.0,1-10M
EMICRON,6250000.0,1-10M
EMICRON,8000000.0,1-10M
EMICRON,24800000.0,10-50M
EMICRON,34000000.0,10-50M
EMICRON,30000000.0,10-50M
EMICRON,1000000.0,1-10M
EMICRON,3000000.0,1-10M
EMICRON,1600000.0,1-10M
EMICRON,4200000.0,1-10M
EMICRON,4640000.0,1-10M
EMICRON,7200000.0,1-10M
EMICRON,24000000.0,10-50M
EMICRON,7500000.0,1-10M
EMICRON,30000000.0,10-50M
EMICRON,16000000.0,10-50M
EMICRON,3600000.0,1-10M
EMICRON,8100000.0,1-10M
EMICRON,9600000.0,1-10M
EMICRON,40000000.0,10-50M
EMICRON,12000000.0,10-50M
EMICRON,4200000.0,1-10M
EMICRON,6000000.0,1-10M
EMICRON,28000000.0,10-50M
EMICRON,9000000.0,1-10M
EMICRON,16400000.0,10-50M
EMICRON,5000000.0,1-10M
EMICRON,3360000.0,1-10M
EMICRON,16000000.0,10-50M
EMICRON,12000000.0,10-50M
EMICRON,25000000.0,10-50M
EMICRON,10000000.0,10-50M
EMICRON,9000000.0,1-10M
EMICRON,12000000.0,10-50M
EMICRON,2500000.0,1-10M
EMICRON,10800000.0,10-50M
EMICRON,36000000.0,10-50M
EMICRON,6000000.0,1-10M
EMICRON,2000000.0,1-10M
EMICRON,12000000.0,10-50M
EMICRON,4000000.0,1-10M
EMICRON,7000000.0,1-10M
EMICRON,15000000.0,10-50M
EMICRON,24000000.0,10-50M
EMICRON,2000000.0,1-10M
EMICRON,4500000.0,1-10M
EMICRON,10000000.0,10-50M
EMICRON,1500000.0,1-10M
EMICRON,22500000.0,10-50M
EMICRON,8792333.0,1-10M
EMICRON,20000000.0,10-50M
EMICRON,36000000.0,10-50M
EMICRON,7080000.0,1-10M
EMICRON,8000000.0,1-10M
EMICRON,3000000.0,1-10M
EMICRON,6000000.0,1-10M
EMICRON,1800000.0,1-10M
EMICRON,42000000.0,10-50M
EMICRON,10400000.0,10-50M
EMICRON,4500000.0,1-10M
EMICRON,44000000.0,10-50M
EMICRON,11000000.0,10-50M
EMICRON,4300000.0,1-10M
EMICRON,37000000.0,10-50M
EMICRON,9000000.0,1-10M
EMICRON,3160000.0,1-10M
EMICRON,8100000.0,1-10M
EMICRON,6000000.0,1-10M
EMICRON,3600000.0,1-10M
EMICRON,6800000.0,1-10M
EMICRON,8000000.0,1-10M
EMICRON,1000000.0,1-10M
EMICRON,12800000.0,10-50M
EMICRON,45000000.0,10-50M
EMICRON,6000000.0,1-10M
EMICRON,5600000.0,1-10M
EMICRON,6000000.0,1-10M
EMICRON,140000000.0,50-200M
EMICRON,22000000.0,10-50M
EMICRON,12000000.0,10-50M
EMICRON,21000000.0,10-50M
EMICRON,1000000.0,1-10M
EMICRON,8000000.0,1-10M
EMICRON,6850000.0,1-10M
EMICRON,20000000.0,10-50M
EMICRON,6000000.0,1-10M
EMICRON,13200000.0,10-50M
EMICRON,4320000.0,1-10M
