COD_DEPTO,zasca_count,sector,isem_score,dept_name
76.0,160,agro,4.69,Valle Del Cauca
5.0,114,agro,5.54,Antioquia
19.0,110,agro,3.67,Cauca
15.0,85,agro,4.49,Boyacá
41.0,73,agro,3.09,Huila
47.0,70,agro,3.24,Magdalena
68.0,47,agro,4.71,Santander
63.0,40,agro,3.63,Quindío
66.0,37,agro,4.51,Risaralda
18.0,35,agro,2.86,Caquetá
52.0,35,agro,3.86,Nariño
17.0,34,agro,4.88,Caldas
13.0,33,agro,4.14,Bolívar
5.0,659,manufactura,5.54,Antioquia
11.0,576,manufactura,6.42,"Bogotá, D.C."
68.0,315,manufactura,4.71,Santander
8.0,303,manufactura,4.37,Atlántico
76.0,275,manufactura,4.69,Valle Del Cauca
17.0,150,manufactura,4.88,Caldas
13.0,116,manufactura,4.14,Bolívar
44.0,88,manufactura,2.8,La Guajira
54.0,76,manufactura,3.74,Norte De Santander
52.0,52,manufactura,3.86,Nariño
73.0,49,manufactura,3.89,Tolima
66.0,49,manufactura,4.51,Risaralda
