indicator,category,type,value,source,plot_value,color_category
Registro RUT,No,common,0.42951059167275385,ZASCA,-42.95105916727538,ZASCA_common
Registro RUT,Sí,common,0.22388544140545238,ZASCA,-22.38854414054524,ZASCA_common
Registro RUT,No,common,0.42951059167275385,EMICRON,42.95105916727538,EMICRON_common
Registro RUT,Sí,common,0.22388544140545238,EMICRON,22.38854414054524,EMICRON_common
Registro RUT,Sí,ZASCA_excess,0.34660396692179374,ZASCA,-34.660396692179376,ZASCA_ZASCA
Registro RUT,No,EMICRON_excess,0.34660396692179385,EMICRON,34.66039669217938,EMICRON_EMICRON
Contabilidad,Cuentas en la cabeza,common,0.1275497030725536,ZASCA,-12.754970307255359,ZASCA_common
Contabilidad,Excel/Software,common,0.10228169418224714,ZASCA,-10.228169418224715,ZASCA_common
Contabilidad,Libros contables formales,common,0.04316742983568876,ZASCA,-4.316742983568876,ZASCA_common
Contabilidad,No lleva registros,common,0.039246062483862636,ZASCA,-3.9246062483862634,ZASCA_common
Contabilidad,Registros informales,common,0.17003517313099684,ZASCA,-17.003517313099685,ZASCA_common
Contabilidad,Cuentas en la cabeza,common,0.1275497030725536,EMICRON,12.754970307255359,EMICRON_common
Contabilidad,Excel/Software,common,0.10228169418224714,EMICRON,10.228169418224715,EMICRON_common
Contabilidad,Libros contables formales,common,0.04316742983568876,EMICRON,4.316742983568876,EMICRON_common
Contabilidad,No lleva registros,common,0.039246062483862636,EMICRON,3.9246062483862634,EMICRON_common
Contabilidad,Registros informales,common,0.17003517313099684,EMICRON,17.003517313099685,EMICRON_common
Contabilidad,Excel/Software,ZASCA_excess,0.1814776654872597,ZASCA,-18.14776654872597,ZASCA_ZASCA
Contabilidad,Libros contables formales,ZASCA_excess,0.034550101793539234,ZASCA,-3.4550101793539234,ZASCA_ZASCA
Contabilidad,Registros informales,ZASCA_excess,0.30169217001385207,ZASCA,-30.169217001385206,ZASCA_ZASCA
Contabilidad,Cuentas en la cabeza,EMICRON_excess,0.39590348146061555,EMICRON,39.59034814606156,EMICRON_EMICRON
Contabilidad,No lleva registros,EMICRON_excess,0.12181645583403553,EMICRON,12.181645583403553,EMICRON_EMICRON
Acceso a Crédito,No,common,0.6092227240313762,ZASCA,-60.922272403137626,ZASCA_common
Acceso a Crédito,Sí,common,0.14198247824318833,ZASCA,-14.198247824318832,ZASCA_common
Acceso a Crédito,No,common,0.6092227240313762,EMICRON,60.922272403137626,EMICRON_common
Acceso a Crédito,Sí,common,0.14198247824318833,EMICRON,14.198247824318832,EMICRON_common
Acceso a Crédito,Sí,ZASCA_excess,0.2487947977254354,ZASCA,-24.87947977254354,ZASCA_ZASCA
Acceso a Crédito,No,EMICRON_excess,0.24879479772543545,EMICRON,24.879479772543544,EMICRON_EMICRON
