indicator,category,type,value,source,plot_value,color_category
Registro RUT,No,common,0.34285714285714286,ZASCA,-34.285714285714285,ZASCA_common
Registro RUT,Sí,common,0.24144115646636735,ZASCA,-24.144115646636735,ZASCA_common
Registro RUT,No,common,0.34285714285714286,EMICRON,34.285714285714285,EMICRON_common
Registro RUT,Sí,common,0.24144115646636735,EMICRON,24.144115646636735,EMICRON_common
Registro RUT,Sí,ZASCA_excess,0.4157017006764898,ZASCA,-41.57017006764898,ZASCA_ZASCA
Registro RUT,No,EMICRON_excess,0.4157017006764898,EMICRON,41.57017006764898,EMICRON_EMICRON
Contabilidad,Cuentas en la cabeza,common,0.10584958217270195,ZASCA,-10.584958217270195,ZASCA_common
Contabilidad,Excel/Software,common,0.11735708594877789,ZASCA,-11.735708594877789,ZASCA_common
Contabilidad,Libros contables formales,common,0.04262739101611414,ZASCA,-4.262739101611414,ZASCA_common
Contabilidad,No lleva registros,common,0.04108635097493036,ZASCA,-4.108635097493036,ZASCA_common
Contabilidad,Registros informales,common,0.16568059192768642,ZASCA,-16.56805919276864,ZASCA_common
Contabilidad,Cuentas en la cabeza,common,0.10584958217270195,EMICRON,10.584958217270195,EMICRON_common
Contabilidad,Excel/Software,common,0.11735708594877789,EMICRON,11.735708594877789,EMICRON_common
Contabilidad,Libros contables formales,common,0.04262739101611414,EMICRON,4.262739101611414,EMICRON_common
Contabilidad,No lleva registros,common,0.04108635097493036,EMICRON,4.108635097493036,EMICRON_common
Contabilidad,Registros informales,common,0.16568059192768642,EMICRON,16.56805919276864,EMICRON_common
Contabilidad,Excel/Software,ZASCA_excess,0.20228079705957866,ZASCA,-20.228079705957867,ZASCA_ZASCA
Contabilidad,Libros contables formales,ZASCA_excess,0.03954531093374658,ZASCA,-3.954531093374658,ZASCA_ZASCA
Contabilidad,Registros informales,ZASCA_excess,0.285572889966464,ZASCA,-28.557288996646403,ZASCA_ZASCA
Contabilidad,Cuentas en la cabeza,EMICRON_excess,0.37992724023643587,EMICRON,37.99272402364359,EMICRON_EMICRON
Contabilidad,No lleva registros,EMICRON_excess,0.1474717577233534,EMICRON,14.747175772335341,EMICRON_EMICRON
Acceso a Crédito,No,common,0.592741935483871,ZASCA,-59.2741935483871,ZASCA_common
Acceso a Crédito,Sí,common,0.12322218850089682,ZASCA,-12.322218850089682,ZASCA_common
Acceso a Crédito,No,common,0.592741935483871,EMICRON,59.2741935483871,EMICRON_common
Acceso a Crédito,Sí,common,0.12322218850089682,EMICRON,12.322218850089682,EMICRON_common
Acceso a Crédito,Sí,ZASCA_excess,0.2840358760152322,ZASCA,-28.403587601523224,ZASCA_ZASCA
Acceso a Crédito,No,EMICRON_excess,0.28403587601523217,EMICRON,28.403587601523217,EMICRON_EMICRON
