category,type,value,source,plot_value,color_category
Necesidad,EMICRON_excess,0.059837224663167654,EMICRON,5.983722466316765,EMICRON_EMICRON
Necesidad,common,0.2474088933467068,EMICRON,24.74088933467068,EMICRON_common
Necesidad,common,0.2474088933467068,ZASCA,-24.74088933467068,ZASCA_common
Oportunidad,common,0.30250068434025784,EMICRON,30.250068434025785,EMICRON_common
Oportunidad,ZASCA_excess,0.2531663166627512,ZASCA,-25.316631666275118,ZASCA_ZASCA
Oportunidad,common,0.30250068434025784,ZASCA,-30.250068434025785,ZASCA_common
Other,EMICRON_excess,0.056023778971336924,EMICRON,5.602377897133692,EMICRON_EMICRON
Other,common,0.1788699431628218,EMICRON,17.886994316282177,EMICRON_common
Other,common,0.1788699431628218,ZASCA,-17.886994316282177,ZASCA_common
Tradición/Herencia,EMICRON_excess,0.13730531302824656,EMICRON,13.730531302824655,EMICRON_EMICRON
Tradición/Herencia,common,0.01805416248746239,EMICRON,1.8054162487462388,EMICRON_common
Tradición/Herencia,common,0.01805416248746239,ZASCA,-1.8054162487462388,ZASCA_common
